,volume_sales,title_names,author_names,publisher
0,"<td class=""left"" id=""table-cell-10943-0-3"" style=""color: #000000""> 5,094,805 </td>","<td class=""left"" id=""table-cell-10943-0-1"" style=""color: #000000""> Da Vinci Code,The </td>","<td class=""left"" id=""table-cell-10943-0-2"" style=""color: #000000""> Brown, Dan </td>","<td class=""left"" id=""table-cell-10943-0-4"" style=""color: #000000""> Transworld </td>"
1,"<td class=""left"" id=""table-cell-10943-1-3"" style=""color: #000000""> 4,475,152 </td>","<td class=""left"" id=""table-cell-10943-1-1"" style=""color: #000000""> Harry Potter and the Deathly Hallows </td>","<td class=""left"" id=""table-cell-10943-1-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-1-4"" style=""color: #000000""> Bloomsbury </td>"
2,"<td class=""left"" id=""table-cell-10943-2-3"" style=""color: #000000""> 4,200,654 </td>","<td class=""left"" id=""table-cell-10943-2-1"" style=""color: #000000""> Harry Potter and the Philosopher's Stone </td>","<td class=""left"" id=""table-cell-10943-2-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-2-4"" style=""color: #000000""> Bloomsbury </td>"
3,"<td class=""left"" id=""table-cell-10943-3-3"" style=""color: #000000""> 4,179,479 </td>","<td class=""left"" id=""table-cell-10943-3-1"" style=""color: #000000""> Harry Potter and the Order of the Phoenix </td>","<td class=""left"" id=""table-cell-10943-3-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-3-4"" style=""color: #000000""> Bloomsbury </td>"
4,"<td class=""left"" id=""table-cell-10943-4-3"" style=""color: #000000""> 3,758,936 </td>","<td class=""left"" id=""table-cell-10943-4-1"" style=""color: #000000""> Fifty Shades of Grey </td>","<td class=""left"" id=""table-cell-10943-4-2"" style=""color: #000000""> James, E. L. </td>","<td class=""left"" id=""table-cell-10943-4-4"" style=""color: #000000""> Random House </td>"
5,"<td class=""left"" id=""table-cell-10943-5-3"" style=""color: #000000""> 3,583,215 </td>","<td class=""left"" id=""table-cell-10943-5-1"" style=""color: #000000""> Harry Potter and the Goblet of Fire </td>","<td class=""left"" id=""table-cell-10943-5-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-5-4"" style=""color: #000000""> Bloomsbury </td>"
6,"<td class=""left"" id=""table-cell-10943-6-3"" style=""color: #000000""> 3,484,047 </td>","<td class=""left"" id=""table-cell-10943-6-1"" style=""color: #000000""> Harry Potter and the Chamber of Secrets </td>","<td class=""left"" id=""table-cell-10943-6-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-6-4"" style=""color: #000000""> Bloomsbury </td>"
7,"<td class=""left"" id=""table-cell-10943-7-3"" style=""color: #000000""> 3,377,906 </td>","<td class=""left"" id=""table-cell-10943-7-1"" style=""color: #000000""> Harry Potter and the Prisoner of Azkaban </td>","<td class=""left"" id=""table-cell-10943-7-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-7-4"" style=""color: #000000""> Bloomsbury </td>"
8,"<td class=""left"" id=""table-cell-10943-8-3"" style=""color: #000000""> 3,193,946 </td>","<td class=""left"" id=""table-cell-10943-8-1"" style=""color: #000000""> Angels and Demons </td>","<td class=""left"" id=""table-cell-10943-8-2"" style=""color: #000000""> Brown, Dan </td>","<td class=""left"" id=""table-cell-10943-8-4"" style=""color: #000000""> Transworld </td>"
9,"<td class=""left"" id=""table-cell-10943-9-3"" style=""color: #000000""> 2,950,264 </td>","<td class=""left"" id=""table-cell-10943-9-1"" style=""color: #000000""> Harry Potter and the Half-blood Prince:Children's Edition </td>","<td class=""left"" id=""table-cell-10943-9-2"" style=""color: #000000""> Rowling, J.K. </td>","<td class=""left"" id=""table-cell-10943-9-4"" style=""color: #000000""> Bloomsbury </td>"
10,"<td class=""left"" id=""table-cell-10943-10-3"" style=""color: #000000""> 2,479,784 </td>","<td class=""left"" id=""table-cell-10943-10-1"" style=""color: #000000""> Fifty Shades Darker </td>","<td class=""left"" id=""table-cell-10943-10-2"" style=""color: #000000""> James, E. L. </td>","<td class=""left"" id=""table-cell-10943-10-4"" style=""color: #000000""> Random House </td>"
11,"<td class=""left"" id=""table-cell-10943-11-3"" style=""color: #000000""> 2,315,405 </td>","<td class=""left"" id=""table-cell-10943-11-1"" style=""color: #000000""> Twilight </td>","<td class=""left"" id=""table-cell-10943-11-2"" style=""color: #000000""> Meyer, Stephenie </td>","<td class=""left"" id=""table-cell-10943-11-4"" style=""color: #000000""> Little, Brown Book </td>"
12,"<td class=""left"" id=""table-cell-10943-12-3"" style=""color: #000000""> 2,233,570 </td>","<td class=""left"" id=""table-cell-10943-12-1"" style=""color: #000000""> Girl with the Dragon Tattoo,The:Millennium Trilogy </td>","<td class=""left"" id=""table-cell-10943-12-2"" style=""color: #000000""> Larsson, Stieg </td>","<td class=""left"" id=""table-cell-10943-12-4"" style=""color: #000000""> Quercus </td>"
13,"<td class=""left"" id=""table-cell-10943-13-3"" style=""color: #000000""> 2,193,928 </td>","<td class=""left"" id=""table-cell-10943-13-1"" style=""color: #000000""> Fifty Shades Freed </td>","<td class=""left"" id=""table-cell-10943-13-2"" style=""color: #000000""> James, E. L. </td>","<td class=""left"" id=""table-cell-10943-13-4"" style=""color: #000000""> Random House </td>"
14,"<td class=""left"" id=""table-cell-10943-14-3"" style=""color: #000000""> 2,183,031 </td>","<td class=""left"" id=""table-cell-10943-14-1"" style=""color: #000000""> Lost Symbol,The </td>","<td class=""left"" id=""table-cell-10943-14-2"" style=""color: #000000""> Brown, Dan </td>","<td class=""left"" id=""table-cell-10943-14-4"" style=""color: #000000""> Transworld </td>"
15,"<td class=""left"" id=""table-cell-10943-15-3"" style=""color: #000000""> 2,152,737 </td>","<td class=""left"" id=""table-cell-10943-15-1"" style=""color: #000000""> New Moon </td>","<td class=""left"" id=""table-cell-10943-15-2"" style=""color: #000000""> Meyer, Stephenie </td>","<td class=""left"" id=""table-cell-10943-15-4"" style=""color: #000000""> Little, Brown Book </td>"
16,"<td class=""left"" id=""table-cell-10943-16-3"" style=""color: #000000""> 2,062,145 </td>","<td class=""left"" id=""table-cell-10943-16-1"" style=""color: #000000""> Deception Point </td>","<td class=""left"" id=""table-cell-10943-16-2"" style=""color: #000000""> Brown, Dan </td>","<td class=""left"" id=""table-cell-10943-16-4"" style=""color: #000000""> Transworld </td>"
17,"<td class=""left"" id=""table-cell-10943-17-3"" style=""color: #000000""> 2,052,876 </td>","<td class=""left"" id=""table-cell-10943-17-1"" style=""color: #000000""> Eclipse </td>","<td class=""left"" id=""table-cell-10943-17-2"" style=""color: #000000""> Meyer, Stephenie </td>","<td class=""left"" id=""table-cell-10943-17-4"" style=""color: #000000""> Little, Brown Book </td>"
18,"<td class=""left"" id=""table-cell-10943-18-3"" style=""color: #000000""> 2,005,598 </td>","<td class=""left"" id=""table-cell-10943-18-1"" style=""color: #000000""> Lovely Bones,The </td>","<td class=""left"" id=""table-cell-10943-18-2"" style=""color: #000000""> Sebold, Alice </td>","<td class=""left"" id=""table-cell-10943-18-4"" style=""color: #000000""> Pan Macmillan </td>"
